intent,entity,response_en,response_hi
ask_wellness_tip,cardio exercise,"Cardio exercise (like running, cycling, swimming) strengthens your heart and lungs. Aim for at least 150 minutes of moderate-intensity cardio per week.","कार्डियो व्यायाम (जैसे दौड़ना, साइकिल चलाना, तैरना) आपके दिल और फेफड़ों को मजबूत करता है। प्रति सप्ताह कम से कम 150 मिनट की मध्यम-तीव्रता वाले कार्डियो का लक्ष्य रखें।"
ask_wellness_tip,strength training,"Strength training (using weights or bodyweight) builds muscle and strengthens bones. Aim to work all major muscle groups at least two days per week.","शक्ति प्रशिक्षण (वजन या शरीर के वजन का उपयोग करके) मांसपेशियों का निर्माण करता है और हड्डियों को मजबूत करता है। प्रति सप्ताह कम से कम दो दिन सभी प्रमुख मांसपेशी समूहों पर काम करने का लक्ष्य रखें।"
ask_wellness_tip,constipation,"To help with constipation, gradually increase your fiber intake, drink plenty of water, and stay physically active. See a doctor if it's a chronic problem.","कब्ज में मदद के लिए, धीरे-धीरे अपने फाइबर का सेवन बढ़ाएं, खूब पानी पिएं और शारीरिक रूप से सक्रिय रहें। यदि यह एक पुरानी समस्या है तो डॉक्टर से मिलें।"
ask_prevention,flu,"The best prevention is the annual flu vaccine. Also, wash hands frequently, cover coughs/sneezes, and avoid close contact with sick people.","सबसे अच्छी रोकथाम वार्षिक फ्लू का टीका है। इसके अलावा, बार-बार हाथ धोएं, खांसते/छींकते समय मुंह ढकें और बीमार लोगों से निकट संपर्क से बचें।"
ask_prevention,cold,"Prevent colds by washing hands often, avoiding touching your face, getting plenty of sleep, and maintaining a healthy diet.","बार-बार हाथ धोकर, अपने चेहरे को छूने से बचकर, भरपूर नींद लेकर और स्वस्थ आहार बनाए रखकर सर्दी-जुकाम से बचें।"
ask_prevention,diarrhea,"Prevent infectious diarrhea by washing hands with soap and water (especially before eating and after using the bathroom), ensuring food is cooked thoroughly, and drinking safe, clean water.","साबुन और पानी से हाथ धोकर (विशेषकर खाने से पहले और शौचालय का उपयोग करने के बाद), भोजन को अच्छी तरह से पकाना सुनिश्चित करके, और सुरक्षित, स्वच्छ पानी पीकर संक्रामक दस्त से बचें।"
ask_prevention,food poisoning,"Prevent food poisoning by following four simple steps: Clean (wash hands/surfaces), Separate (don't cross-contaminate), Cook (to proper temperatures), and Chill (refrigerate promptly).","चार सरल चरणों का पालन करके खाद्य विषाक्तता को रोकें: साफ करें (हाथ/सतह धोएं), अलग करें (क्रॉस-संदूषण न करें), पकाएं (उचित तापमान पर), और ठंडा करें (तुरंत रेफ्रिजरेट करें)।"
ask_prevention,pink eye,"Prevent contagious pink eye by washing your hands thoroughly, not touching your eyes, not sharing towels or pillowcases, and cleaning surfaces.","अपने हाथों को अच्छी तरह से धोकर, अपनी आंखों को न छूकर, तौलिये या तकिये के कवर साझा न करके, और सतहों की सफाई करके संक्रामक पिंक आई से बचें।"
ask_prevention,chickenpox,"The most effective prevention for chickenpox is the varicella vaccine. It is highly effective and recommended for children and adults who haven't had it.","चिकनपॉक्स के लिए सबसे प्रभावी रोकथाम वैरिसेला वैक्सीन है। यह अत्यधिक प्रभावी है और उन बच्चों और वयस्कों के लिए अनुशंसित है जिन्हें यह नहीं हुआ है।"
ask_prevention,diabetes,"Type 2 diabetes can often be prevented or delayed with lifestyle changes: maintain a healthy weight, eat a balanced diet low in sugar, and get regular physical activity.","टाइप 2 मधुमेह को अक्सर जीवनशैली में बदलाव के साथ रोका या विलंबित किया जा सकता है: एक स्वस्थ वजन बनाए रखें, चीनी में कम संतुलित आहार खाएं, और नियमित शारीरिक गतिविधि करें।"
ask_prevention,heart disease,"Prevent heart disease by eating a healthy diet, exercising regularly, not smoking, limiting alcohol, and managing blood pressure and cholesterol.","स्वस्थ आहार खाकर, नियमित व्यायाम करके, धूम्रपान न करके, शराब सीमित करके, और रक्तचाप और कोलेस्ट्रॉल का प्रबंधन करके हृदय रोग को रोकें।"
ask_prevention,strep throat,"Prevent strep throat by washing hands frequently and not sharing drinks or utensils, especially with someone who is sick.","बार-बार हाथ धोकर और पेय या बर्तन साझा न करके, खासकर किसी बीमार व्यक्ति के साथ, स्ट्रेप थ्रोट से बचें।"
ask_prevention,uti,"Prevent UTIs by drinking plenty of fluids (especially water), wiping from front to back after using the toilet, and urinating soon after intercourse.","खूब सारे तरल पदार्थ (विशेषकर पानी) पीकर, शौचालय का उपयोग करने के बाद आगे से पीछे की ओर पोंछकर, और संभोग के तुरंत बाद पेशाब करके यूटीआई को रोकें।"
ask_prevention,sun safety,"Prevent skin damage and cancer by using broad-spectrum sunscreen (SPF 30+), wearing protective clothing, seeking shade during peak sun hours (10 AM - 4 PM), and avoiding tanning beds.","ब्रॉड-स्पेक्ट्रम सनस्क्रीन (एसपीएफ 30+) का उपयोग करके, सुरक्षात्मक कपड़े पहनकर, चरम धूप के घंटों (सुबह 10 बजे - शाम 4 बजे) के दौरान छाया की तलाश करके, और टैनिंग बेड से बचकर त्वचा की क्षति और कैंसर को रोकें।"
ask_prevention,back pain,"Prevent back pain by maintaining a healthy weight, exercising regularly (focus on core strength), practicing good posture, and lifting heavy objects correctly (with your legs, not your back).","एक स्वस्थ वजन बनाए रखकर, नियमित रूप से व्यायाम करके (कोर की ताकत पर ध्यान केंद्रित करें), अच्छी मुद्रा का अभ्यास करके, और भारी वस्तुओं को सही ढंग से उठाकर (अपने पैरों से, अपनी पीठ से नहीं) पीठ दर्द को रोकें।"
ask_symptom,default,"If you are feeling unwell or have specific symptoms, it is best to consult with a healthcare professional for an accurate diagnosis and advice. I cannot provide a diagnosis.","यदि आप अस्वस्थ महसूस कर रहे हैं या आपको विशिष्ट लक्षण हैं, तो सटीक निदान और सलाह के लिए स्वास्थ्य देखभाल पेशेवर से परामर्श करना सबसे अच्छा है। मैं निदान प्रदान नहीं कर सकता।"
ask_first_aid,default,"For any serious medical situation, please contact emergency services or a healthcare professional immediately. My information is for basic guidance only.","किसी भी गंभीर चिकित्सा स्थिति के लिए, कृपया तुरंत आपातकालीन सेवाओं या स्वास्थ्य देखभाल पेशेवर से संपर्क करें। मेरी जानकारी केवल बुनियादी मार्गदर्शन के लिए है।"
ask_wellness_tip,default,"A great general wellness tip is to focus on a balanced diet, regular physical activity, and sufficient sleep. These form the foundation of good health.","एक बेहतरीन सामान्य स्वास्थ्य टिप है संतुलित आहार, नियमित शारीरिक गतिविधि और पर्याप्त नींद पर ध्यान केंद्रित करना। ये अच्छे स्वास्थ्य की नींव बनाते हैं।"
ask_prevention,default,"The best general prevention strategy is to practice good hygiene, such as regular hand washing, and to maintain a healthy lifestyle to support your immune system.","सबसे अच्छी सामान्य रोकथाम रणनीति है अच्छी स्वच्छता का अभ्यास करना, जैसे नियमित रूप से हाथ धोना, और अपनी प्रतिरक्षा प्रणाली का समर्थन करने के लिए एक स्वस्थ जीवन शैली बनाए रखना।"
